Geom;AREA_HA;PARK_ID;PARK_NAME;PARK_URL
"{""type"": ""Polygon"", ""coordinates"": [[[-123.12439615721479, 49.25338965511026], [-123.12216852657725, 49.25334321505667], [-123.12035729640564, 49.25330538419479], [-123.120386895235, 49.25249127664541], [-123.12041649318077, 49.25167719595951], [-123.12222696366463, 49.25171528755338], [-123.12446759063552, 49.251762333143375], [-123.12443187451098, 49.25257599868706], [-123.12439615721479, 49.25338965511026]]]}";5.33117759879601;175.0;Douglas Park;http://covapp.vancouver.ca/parkfinder/parkdetail.aspx?inparkid=175
"{""type"": ""Polygon"", ""coordinates"": [[[-123.16230478891643, 49.26292028645718], [-123.15784451219271, 49.26285095114459], [-123.15790514565813, 49.26119035230484], [-123.16236665013795, 49.26126058303964], [-123.16230478891643, 49.26292028645718]]]}";5.99364508649544;108.0;Connaught Park;http://covapp.vancouver.ca/parkfinder/parkdetail.aspx?inparkid=108
"{""type"": ""Polygon"", ""coordinates"": [[[-123.07735196511358, 49.2609504416346], [-123.07559341367707, 49.260936241762145], [-123.07560046220725, 49.260601975172754], [-123.07733563680239, 49.26061583977309], [-123.07735196511358, 49.2609504416346]]]}";0.472500789983627;80.0;Cedar Cottage Park;http://covapp.vancouver.ca/parkfinder/parkdetail.aspx?inparkid=80
"{""type"": ""Polygon"", ""coordinates"": [[[-123.046487169893, 49.286586340152255], [-123.04427740921672, 49.28658453643318], [-123.04427870446027, 49.285773621471385], [-123.04648911600532, 49.285774966146725], [-123.046487169893, 49.286586340152255]]]}";1.44933235846117;68.0;Callister Park;http://covapp.vancouver.ca/parkfinder/parkdetail.aspx?inparkid=68
"{""type"": ""Polygon"", ""coordinates"": [[[-123.06597053982168, 49.24803514929238], [-123.06569367007096, 49.24803305825137], [-123.0652395626267, 49.2480297174832], [-123.06525782976419, 49.24730470066317], [-123.06574217368056, 49.24730892368008], [-123.065740872523, 49.2473637953237], [-123.06646016265181, 49.24737057097324], [-123.06646081283253, 49.247343135147624], [-123.06771803797677, 49.24735725619415], [-123.06771555508207, 49.24805347941876], [-123.06723190264523, 49.24804791498764], [-123.06642328707379, 49.248038487969474], [-123.06597053982168, 49.24803514929238]]]}";1.38563362514848;79.0;Brewers Park;http://covapp.vancouver.ca/parkfinder/parkdetail.aspx?inparkid=79
"{""type"": ""Polygon"", ""coordinates"": [[[-123.12015319806845, 49.20997573330137], [-123.1201288386012, 49.210501542340516], [-123.11877639402299, 49.21046923562006], [-123.11879163887077, 49.21008151394879], [-123.11908102504873, 49.21012304407283], [-123.11946572925149, 49.20996162213402], [-123.12015319806845, 49.20997573330137]]]}";0.513125315644564;122.0;Ash Park;http://covapp.vancouver.ca/parkfinder/parkdetail.aspx?inparkid=122
"{""type"": ""Polygon"", ""coordinates"": [[[-123.13484025592786, 49.26973339043875], [-123.13478646850857, 49.26973864882235], [-123.13474735480142, 49.26976038636258], [-123.13447160172547, 49.26970314014869], [-123.1345929912012, 49.26942466399596], [-123.1345708623841, 49.26939783370683], [-123.13463770145471, 49.269258188142594], [-123.1346907618091, 49.26917640312362], [-123.13498475671724, 49.26930591112557], [-123.13541417938129, 49.269553805657274], [-123.13516416137968, 49.269744241592285], [-123.13503347741347, 49.26974763266402], [-123.1350065777935, 49.26974280489183], [-123.13499715239972, 49.26976463825424], [-123.13484025592786, 49.26973339043875]]]}";0.264305217455856;235.0;Granville Island Water Park;http://covapp.vancouver.ca/parkfinder/parkdetail.aspx?inparkid=235
"{""type"": ""Polygon"", ""coordinates"": [[[-123.10427577733067, 49.279863011460094], [-123.10353956018211, 49.279851718000266], [-123.1035334486356, 49.280127548984545], [-123.10322561432173, 49.280116133358035], [-123.10323842271845, 49.27984326391682], [-123.10297957784928, 49.27983620969422], [-123.10297301150042, 49.279731982992054], [-123.10274694811217, 49.27973299379353], [-123.1027470357835, 49.27966599311243], [-123.10247022473371, 49.27966297906635], [-123.1024856372009, 49.27930588009997], [-123.10281651745974, 49.279284699346256], [-123.10418358761626, 49.27930868833679], [-123.10429650533283, 49.27935957115932], [-123.10427577733067, 49.279863011460094]]]}";0.813574951450618;30.0;Sun Yat-sen Gardens Park;http://covapp.vancouver.ca/parkfinder/parkdetail.aspx?inparkid=30
"{""type"": ""Polygon"", ""coordinates"": [[[-123.02637062064858, 49.27367182835905], [-123.02624551914646, 49.27367177588579], [-123.02624531717447, 49.27367199271569], [-123.02596923139899, 49.273670910008434], [-123.02597315101379, 49.27337546396595], [-123.02597671066512, 49.27310407652156], [-123.02658268611623, 49.27310498394076], [-123.02756007571926, 49.27310651800573], [-123.02784185356624, 49.27310706212565], [-123.02908001528174, 49.27310908690134], [-123.02932326887239, 49.27338040127573], [-123.02933097207145, 49.27338831508653], [-123.02933881279971, 49.27339631881373], [-123.02934665347713, 49.27340423258858], [-123.02935449415705, 49.273412146362816], [-123.02936233478613, 49.27341997018471], [-123.02937031294451, 49.27342788392293], [-123.02937829110542, 49.27343579766062], [-123.029386131742, 49.27344362148081], [-123.02938943302962, 49.27344685890904], [-123.02939410985458, 49.273451445265565], [-123.02940222549665, 49.27345935896653], [-123.02941020361426, 49.273467182750124], [-123.02941831920805, 49.27347500649807], [-123.02942643475083, 49.27348274029363], [-123.02943455034973, 49.27349056404047], [-123.02944266595114, 49.27349838778673], [-123.0294507815016, 49.27350612158052], [-123.02945903452823, 49.273513855338706], [-123.02946715013738, 49.27352167908321], [-123.02947540316922, 49.27352941284022], [-123.02948365620364, 49.27353714659654], [-123.02949204666075, 49.27354479036537], [-123.02950029970035, 49.273552524120575], [-123.02950869016267, 49.27356016788817], [-123.02951708068126, 49.27356790160696], [-123.02952547114877, 49.27357554537332], [-123.02952348426103, 49.273678549781124], [-123.02938532237033, 49.27367795533718], [-123.02924717423028, 49.27367736072449], [-123.02910901235136, 49.273676774945336], [-123.02897085047037, 49.27367618000578], [-123.0288327023453, 49.27367559389275], [-123.02869385310008, 49.2736749987935], [-123.02852957109641, 49.273674328853076], [-123.02852957088996, 49.273673970844655], [-123.02825326132276, 49.27367350622237], [-123.02812336191177, 49.27367335800824], [-123.02798794983964, 49.273673300935386], [-123.02785322509288, 49.27367316258146], [-123.02771851408917, 49.273673015071985], [-123.02758378939397, 49.273672966355754], [-123.02744906464406, 49.27367281853538], [-123.02731435364727, 49.273672679549875], [-123.02717962889382, 49.27367252242016], [-123.02704490419535, 49.273672464080455], [-123.02691019320042, 49.27367232462374], [-123.02677546845398, 49.273672176018], [-123.02664074376155, 49.27367212620223], [-123.02650534539308, 49.27367197743681], [-123.02637062064858, 49.27367182835905]]]}";1.5410010545813;69.0;Charles Park;http://covapp.vancouver.ca/parkfinder/parkdetail.aspx?inparkid=69
"{""type"": ""Polygon"", ""coordinates"": [[[-123.10743869182903, 49.26170014954711], [-123.10730055834345, 49.26169767829764], [-123.10723114789693, 49.26169639345628], [-123.10702427764933, 49.261692726320746], [-123.10702622059745, 49.26163785374576], [-123.1070334189532, 49.261470985946445], [-123.10744781813882, 49.26147868800525], [-123.10744063431795, 49.26164527696551], [-123.10743869182903, 49.26170014954711]]]}";0.0743320505985351;138.0;Major Matthews Park;http://covapp.vancouver.ca/parkfinder/parkdetail.aspx?inparkid=138
